PaCMAP_X,PaCMAP_Y
3.7185214,3.1661992
3.7207944,4.8474054
2.6359346,4.949351
8.06811,1.8072401
9.549706,0.4535752
6.1658645,2.3476415
8.378613,-0.5500353
6.2089057,0.13780537
6.962353,0.91742545
6.460572,0.053189278
6.6053014,0.08788691
8.595464,1.9269971
6.624045,-0.297378
10.559486,-0.9680947
7.677347,0.20365444
7.750673,-1.4958289
8.492464,-1.0461947
8.465473,-0.18796718
8.389179,-0.656521
8.183748,0.4561857
7.4678535,-0.24669924
1.0197042,1.7691749
0.7026294,-2.7966163
5.886727,1.7256641
4.988743,1.4665817
6.97673,0.037998114
2.021758,-2.0702033
6.223462,-0.59626096
7.65546,-1.7675151
4.453089,-0.54709274
9.085475,-3.1022158
8.431381,-1.6829962
4.0445614,-0.19093043
6.755053,-0.016870653
3.6873243,1.0103582
1.5543272,0.8200027
-2.8508148,2.6913383
6.622716,3.8625996
8.709667,1.1486815
7.2877865,2.6800716
7.9647684,4.1424866
6.18383,1.1206727
-7.7895684,1.6045173
-7.855882,2.0118878
-7.690382,0.09535344
-8.102988,0.73009765
-8.99387,1.6314838
-7.305843,-0.44722605
-8.030204,-3.29898
-6.8939996,-2.4939313
-6.1686797,-2.2545469
-6.957665,-2.7667139
9.920277,4.1727066
-7.712266,-3.12231
-6.2438755,-2.1057587
-5.399183,-2.5550606
-9.528078,-0.29631177
1.5534607,4.3260508
1.8968817,4.0113893
0.9394662,4.7752967
1.5399421,4.159466
1.7747867,3.6218214
1.6656151,3.5390122
1.7381313,-7.9661207
1.3055199,-8.3890915
1.395136,-7.994888
0.755389,-7.944629
-0.7138121,-7.123149
0.6148402,-7.886309
-0.08849075,-7.477618
1.096101,-8.396885
0.98152727,-8.536919
-0.75755787,-7.9798965
-1.878284,-7.7015967
0.40573984,-7.8422647
9.841689,-3.668471
1.665604,-7.8101363
3.77071,-6.098796
-2.1578827,-7.6986017
-1.0106766,-8.194748
2.7584298,-7.7204447
4.3801136,-7.381219
9.588228,-2.6691272
9.332228,-2.8203347
10.56737,-2.7023969
10.939176,-2.1346748
7.0609865,-3.7011685
3.3814964,-2.4860668
4.7514634,-3.2892656
4.957852,-3.0104835
2.4623532,-2.212908
2.9733202,-1.537666
2.0574641,-2.5657275
0.97976875,-2.6800442
-0.15836862,-3.627627
9.756648,-3.20419
10.940961,-1.2178
10.186087,1.0262948
11.030496,0.15106882
10.942293,0.15820353
10.953466,0.41364405
10.391132,3.0987787
8.145404,3.136485
8.462372,4.4367905
-1.0362104,1.6152825
5.475814,3.2166436
4.829142,2.4469962
2.8783336,1.5130234
8.133575,0.9790502
7.744428,2.517254
7.4080253,2.4163816
1.9703586,0.46434668
1.8898783,-2.9182582
0.118531786,-0.2774281
0.3229255,1.1588061
-0.38312906,1.7773565
4.898529,3.5755599
-2.7995296,-2.8037717
-0.77126336,-1.3968518
-0.87041026,-2.6029336
1.5084933,-1.60153
1.1627684,-2.5552652
-1.1731963,-3.6991205
8.03437,2.7970095
4.487565,-3.9775746
6.3807325,-4.6869307
6.0291495,-4.300976
-5.840256,1.252994
6.939804,5.2230716
-6.8801026,1.7985474
-7.442233,-0.07991914
7.753326,4.1704845
-3.3832207,4.2091217
-4.6262307,-2.9218838
1.5127255,-4.122916
-4.32024,6.3992805
-0.82343787,3.5522537
0.8790886,-7.6921935
5.0605526,-3.7246444
6.009499,-3.821769
6.028398,-5.491717
3.7271023,-5.937232
3.6304567,-5.601465
4.3902597,-5.9902716
7.8936043,-4.711491
4.015493,-6.327371
4.4117155,-5.7481647
6.4022603,-5.319717
4.615875,-5.28571
6.8930397,-3.9695868
5.201474,-5.536079
-5.1002517,-5.6551514
-8.836343,-4.5323286
2.2713923,-0.6106998
4.3251147,-0.6161515
3.3716857,-0.64489275
-0.08543265,-1.3232394
-2.4344983,-2.2733355
-0.9676039,3.2880335
-5.1771436,-4.1514263
-4.7402954,-4.1737933
-4.9631534,-3.9677079
-4.631838,-3.1988847
-0.34732544,-0.61184067
-4.578003,-2.7938309
-3.2967603,-2.3889315
-4.540553,-3.8164256
-2.3361592,-0.02424817
-1.7943676,0.5277376
-4.460485,-4.1915603
-1.0765799,-0.72220206
-3.464459,-2.039488
-5.068959,-3.2606673
-2.5942824,-1.1124823
-1.977058,0.10095039
-9.065727,-2.572015
-6.970927,2.3851388
-5.2964253,2.7362602
-6.4125757,2.385452
-6.998028,1.8704234
-8.165874,-0.3063411
-7.510399,1.9595243
-6.8112755,0.3808088
-7.6327767,0.61790836
-8.376106,-2.3012457
-7.9337053,-0.7896118
-9.17113,-0.027786855
-8.931732,0.3257749
-8.964778,0.6218503
-9.388306,0.9790522
-10.399682,-1.0042083
-11.410595,-2.9235063
-11.749223,-3.0644155
-12.248361,-3.6097686
-10.81449,-3.4425373
-8.533884,-0.8379433
-6.7558875,-5.535237
1.5063322,4.2993255
0.31491885,5.0126777
1.5629132,4.0435715
2.0165193,3.8766828
6.653214,-0.5471788
1.7764294,3.4758108
2.5144434,-6.7780867
0.9010578,-8.20783
0.8575582,-7.816409
1.7329531,-7.926674
-0.09575201,-7.18893
1.1764864,-8.508433
1.8654243,-7.602246
0.8700838,-7.785737
1.0357872,-7.5794363
0.91777587,-7.6171618
1.054885,-8.320661
