PaCMAP_X,PaCMAP_Y,Label
3.7185214,3.1661992,3
3.7207944,4.8474054,1
2.6359346,4.949351,1
8.06811,1.8072401,3
9.549706,0.4535752,3
6.1658645,2.3476415,3
8.378613,-0.5500353,0
6.2089057,0.13780537,3
6.962353,0.91742545,3
6.460572,0.053189278,3
6.6053014,0.08788691,3
8.595464,1.9269971,3
6.624045,-0.297378,3
10.559486,-0.9680947,0
7.677347,0.20365444,3
7.750673,-1.4958289,0
8.492464,-1.0461947,0
8.465473,-0.18796718,3
8.389179,-0.656521,0
8.183748,0.4561857,3
7.4678535,-0.24669924,3
1.0197042,1.7691749,1
0.7026294,-2.7966163,0
5.886727,1.7256641,3
4.988743,1.4665817,3
6.97673,0.037998114,3
2.021758,-2.0702033,0
6.223462,-0.59626096,0
7.65546,-1.7675151,0
4.453089,-0.54709274,0
9.085475,-3.1022158,0
8.431381,-1.6829962,0
4.0445614,-0.19093043,3
6.755053,-0.016870653,3
3.6873243,1.0103582,3
1.5543272,0.8200027,1
-2.8508148,2.6913383,1
6.622716,3.8625996,3
8.709667,1.1486815,3
7.2877865,2.6800716,3
7.9647684,4.1424866,3
6.18383,1.1206727,3
-7.7895684,1.6045173,4
-7.855882,2.0118878,4
-7.690382,0.09535344,4
-8.102988,0.73009765,4
-8.99387,1.6314838,4
-7.305843,-0.44722605,4
-8.030204,-3.29898,2
-6.8939996,-2.4939313,0
-6.1686797,-2.2545469,0
-6.957665,-2.7667139,0
9.920277,4.1727066,3
-7.712266,-3.12231,2
-6.2438755,-2.1057587,0
-5.399183,-2.5550606,0
-9.528078,-0.29631177,4
1.5534607,4.3260508,1
1.8968817,4.0113893,1
0.9394662,4.7752967,1
1.5399421,4.159466,1
1.7747867,3.6218214,1
1.6656151,3.5390122,1
1.7381313,-7.9661207,0
1.3055199,-8.3890915,0
1.395136,-7.994888,0
0.755389,-7.944629,0
-0.7138121,-7.123149,0
0.6148402,-7.886309,0
-0.08849075,-7.477618,0
1.096101,-8.396885,0
0.98152727,-8.536919,0
-0.75755787,-7.9798965,0
-1.878284,-7.7015967,0
0.40573984,-7.8422647,0
9.841689,-3.668471,0
1.665604,-7.8101363,0
3.77071,-6.098796,0
-2.1578827,-7.6986017,0
-1.0106766,-8.194748,0
2.7584298,-7.7204447,0
4.3801136,-7.381219,0
9.588228,-2.6691272,0
9.332228,-2.8203347,0
10.56737,-2.7023969,0
10.939176,-2.1346748,0
7.0609865,-3.7011685,0
3.3814964,-2.4860668,0
4.7514634,-3.2892656,0
4.957852,-3.0104835,0
2.4623532,-2.212908,0
2.9733202,-1.537666,0
2.0574641,-2.5657275,0
0.97976875,-2.6800442,0
-0.15836862,-3.627627,0
9.756648,-3.20419,0
10.940961,-1.2178,0
10.186087,1.0262948,3
11.030496,0.15106882,3
10.942293,0.15820353,3
10.953466,0.41364405,3
10.391132,3.0987787,3
8.145404,3.136485,3
8.462372,4.4367905,3
-1.0362104,1.6152825,1
5.475814,3.2166436,3
4.829142,2.4469962,3
2.8783336,1.5130234,3
8.133575,0.9790502,3
7.744428,2.517254,3
7.4080253,2.4163816,3
1.9703586,0.46434668,1
1.8898783,-2.9182582,0
0.118531786,-0.2774281,1
0.3229255,1.1588061,1
-0.38312906,1.7773565,1
4.898529,3.5755599,3
-2.7995296,-2.8037717,0
-0.77126336,-1.3968518,0
-0.87041026,-2.6029336,0
1.5084933,-1.60153,0
1.1627684,-2.5552652,0
-1.1731963,-3.6991205,0
8.03437,2.7970095,3
4.487565,-3.9775746,0
6.3807325,-4.6869307,0
6.0291495,-4.300976,0
-5.840256,1.252994,4
6.939804,5.2230716,3
-6.8801026,1.7985474,4
-7.442233,-0.07991914,4
7.753326,4.1704845,3
-3.3832207,4.2091217,1
-4.6262307,-2.9218838,0
1.5127255,-4.122916,0
-4.32024,6.3992805,1
-0.82343787,3.5522537,1
0.8790886,-7.6921935,0
5.0605526,-3.7246444,0
6.009499,-3.821769,0
6.028398,-5.491717,0
3.7271023,-5.937232,0
3.6304567,-5.601465,0
4.3902597,-5.9902716,0
7.8936043,-4.711491,0
4.015493,-6.327371,0
4.4117155,-5.7481647,0
6.4022603,-5.319717,0
4.615875,-5.28571,0
6.8930397,-3.9695868,0
5.201474,-5.536079,0
-5.1002517,-5.6551514,0
-8.836343,-4.5323286,2
2.2713923,-0.6106998,0
4.3251147,-0.6161515,0
3.3716857,-0.64489275,0
-0.08543265,-1.3232394,0
-2.4344983,-2.2733355,0
-0.9676039,3.2880335,1
-5.1771436,-4.1514263,0
-4.7402954,-4.1737933,0
-4.9631534,-3.9677079,0
-4.631838,-3.1988847,0
-0.34732544,-0.61184067,1
-4.578003,-2.7938309,0
-3.2967603,-2.3889315,0
-4.540553,-3.8164256,0
-2.3361592,-0.02424817,1
-1.7943676,0.5277376,1
-4.460485,-4.1915603,0
-1.0765799,-0.72220206,1
-3.464459,-2.039488,0
-5.068959,-3.2606673,0
-2.5942824,-1.1124823,0
-1.977058,0.10095039,1
-9.065727,-2.572015,2
-6.970927,2.3851388,4
-5.2964253,2.7362602,4
-6.4125757,2.385452,4
-6.998028,1.8704234,4
-8.165874,-0.3063411,4
-7.510399,1.9595243,4
-6.8112755,0.3808088,4
-7.6327767,0.61790836,4
-8.376106,-2.3012457,2
-7.9337053,-0.7896118,4
-9.17113,-0.027786855,4
-8.931732,0.3257749,4
-8.964778,0.6218503,4
-9.388306,0.9790522,4
-10.399682,-1.0042083,2
-11.410595,-2.9235063,2
-11.749223,-3.0644155,2
-12.248361,-3.6097686,2
-10.81449,-3.4425373,2
-8.533884,-0.8379433,4
-6.7558875,-5.535237,0
1.5063322,4.2993255,1
0.31491885,5.0126777,1
1.5629132,4.0435715,1
2.0165193,3.8766828,1
6.653214,-0.5471788,3
